IsNavigational,CatalogId,Name,ParentCategoryId
True,0ZSRj00000002rROAQ,Ancillary,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Control Technology,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Corner,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Drive Train,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Drive Unit Controls,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Electrical Components,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Flotation,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Linears,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Machine Options,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Manuals,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Service Tools,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Span Accessories,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Sprinklers,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Structural,0ZGVF0000002fDZ4AY
True,0ZSRj00000002rROAQ,Merchandising,0ZGVF0000002fDZ4AY
