Name,CurrencyIsoCode,tvnt__Display_criteria__c,tvnt__Mandatory__c,tvnt__Matching_criteria__c,tvnt__Parent_Question_Association__c,tvnt__Question__c,tvnt__Questionnaire__c,tvnt__Section__c,tvnt__Sequence__c
Identify Gear Box (check applicable photo),USD,,True,Any,,a8Scf000000nc8zEAA,a8Vcf0000000YuXEAU,a8Wcf000000BvMLEA0,1.0
1.1 – Claim #,USD,,True,,,a8Scf000000o68fEAA,a8Vcf0000000ouTEAQ,a8Wcf000000Gf2PEAS,1.0
1.2 – Part #,USD,,True,,,a8Scf000000o6AHEAY,a8Vcf0000000ouTEAQ,a8Wcf000000Gf2PEAS,2.0
1.3 – Parent Order #,USD,,True,,,a8Scf000000o6BtEAI,a8Vcf0000000ouTEAQ,a8Wcf000000Gf2PEAS,3.0
1.4 – Date Installed (MM/YYYY),USD,,True,,,a8Scf000000o6DVEAY,a8Vcf0000000ouTEAQ,a8Wcf000000Gf2PEAS,4.0
1.5 – Hours on Module,USD,,True,,,a8Scf000000o6F7EAI,a8Vcf0000000ouTEAQ,a8Wcf000000Gf2PEAS,5.0
1.7 – External Temperature at Time of Failure,USD,,True,,,a8Scf000000o6ILEAY,a8Vcf0000000ouTEAQ,a8Wcf000000Gf2PEAS,7.0
1.8 – Dealer Service Case Number,USD,,False,,,a8Scf000000o6LZEAY,a8Vcf0000000ouTEAQ,a8Wcf000000Gf2PEAS,8.0
1.6 – Technician Name,USD,,True,,,a8Scf000000o6GjEAI,a8Vcf0000000ouTEAQ,a8Wcf000000Gf2PEAS,6.0
2.1 – Frequency / Time of Occurrence,USD,,True,,,a8Scf000000o5pKEAQ,a8Vcf0000000ouTEAQ,a8Wcf000000GqAjEAK,9.0
2.2 – A‑B‑A Swap Method Confirmation,USD,,False,,,a8Scf000000o6JxEAI,a8Vcf0000000ouTEAQ,a8Wcf000000GqAjEAK,10.0
2.3 – Description of Failure,USD,,False,,,a8Scf000000o6NBEAY,a8Vcf0000000ouTEAQ,a8Wcf000000GqAjEAK,11.0
3.1 – Failure Code Category,USD,,True,,,a8Scf000000o6OnEAI,a8Vcf0000000ouTEAQ,a8Wcf000000GqCLEA0,12.0
3.2 – Failure Code – Screen,USD,Screen,False,Any,a8Rcf00000060ADEAY,a8Scf000000o6QPEAY,a8Vcf0000000ouTEAQ,a8Wcf000000GqCLEA0,13.0
