Name,CatalogId,IsNavigational,ParentCategoryId
Ancillary Valves,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Butterfly Valves,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Direct Buried Cable,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Disconnect Panels,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Fertigation and Chemigation,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Flowmeters,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Generators and Engines,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Hook-Up Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Phase Converters,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Pump Panels,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Ring Lock Fittings,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Soft Starters,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Steel Tubing,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Variable Frequency Drives,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Control Valves,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
Pumping Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8rGAE
AgSense,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8sGAE
Complete Control Panels,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8sGAE
Control Panel Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8sGAE
Control Panel Upgrades,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8sGAE
Panel Auxiliary Options,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8sGAE
Solar,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8sGAE
Telemetry,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8sGAE
Control Panel Repair,0ZScf0000001NgvGAE,True,0ZGcf0000002Y8sGAE
