CatalogId,ParentCategoryId,Name,IsNavigational
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Ancillary Valves,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Butterfly Valves,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Direct Buried Cable,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Disconnect Panels,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Fertigation and Chemigation,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Flowmeters,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Generators and Engines,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Hook-Up Options,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Phase Converters,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Pump Panels,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Ring Lock Fittings,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Soft Starters,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Steel Tubing,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Variable Frequency Drives,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Control Valves,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf3GAE,Pumping Options,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf4GAE,AgSense,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf4GAE,Complete Control Panels,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf4GAE,Control Panel Options,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf4GAE,Control Panel Upgrades,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf4GAE,Panel Auxiliary Options,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf4GAE,Solar,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf4GAE,Telemetry,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf4GAE,Control Panel Repair,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf4GAE,Pump Control Options,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Air Compressor,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Below Ground Guidance,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Cam Lines,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Corner Overhang Package,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Corner Sensor Box,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Corner Sequencing,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Corner Span Package,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Corner Spans and Overhangs,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Corner Upgrade,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Encompass,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,GPS Guidance,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,LRDU,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Sprinkler,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Steerable Drive Unit,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf5GAE,Tubing Harnesses,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,Center Drive Repair,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,Complete Center Drives,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,Complete Gearboxes,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,Drive Shaft Shields,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,Drive Shafts,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,Drive Train Conversions,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,Engine Drive,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,Gear Lube,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,Gearbox Repair,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,Tires and Rims,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,T-L Conversion,True
0ZScf0000001NgvGAE,0ZGcf0000002NADGA2,U-Joints,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf6GAE,Complete Tower Boxes,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf6GAE,Pivot Alignment,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf6GAE,Solid State Motor Controller,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf6GAE,Tower Box Conversion,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf6GAE,Tower Box Mechanical,True
0ZScf0000001NgvGAE,0ZGcf0000002Pf6GAE,Tower Box Upgrades,True
