Name,tvnt__Type__c,tvnt__Is_Mandatory__c,tvnt__Response_Input_Type__c,tvnt__Response_Type__c,CurrencyIsoCode,tvnt__Response__c,tvnt__Question__c,tvnt__Sequence__c
Frequency / Time of Occurrence,,True,,Number,USD,,<p>Frequency / Time of Occurrence</p>,8.0
Claim Number,,False,,Text,USD,,<p>Claim #</p>,1.0
Part Number,,False,,Text,USD,,<p>Part #</p>,2.0
Parent Order Number,,True,,Text,USD,,<p>Parent Order #</p>,3.0
Date Installed,,True,,Date,USD,,<p>Date Installed (Month/Year)</p>,4.0
Hours on Module,,True,,Number,USD,,<p>Hours on Module</p>,5.0
Tech Name,,True,,Text,USD,,<p>Tech Name (Who Performed Field Service)</p>,6.0
External Temperature at Time of Failure,,True,,Number,USD,,<p>External Temperature at Time of Failure</p>,7.0
A-B-A Swap Method Confirmation,,False,Checkbox,Multi Select,USD,Please check this checkbox for A-B-A Swap Method Confirmation,"<p><span style=""background-color: rgb(255, 255, 255); font-size: 14px;"">A-B-A Swap Method Confirmation</span></p><p><span style=""font-size: 14px;"">The A‑B Swap Method is a simple cross‑check test, which can confirm the observed issue is not systemic. </span></p><p><span style=""font-size: 14px;"">1. Replace the suspected component (A) from the original failing panel.</span></p><p><span style=""font-size: 14px;"">2. Replace the suspected component (A) with a known good component (B) and check if the hte panel now working properly.</span></p><p><span style=""font-size: 14px;"">3. Replace known good component (B) with original component (A), see if the same failure occurs.</span></p><p><span style=""font-size: 14px;"">4. if failure reoccurs reinstall component (B) if the failure does not repeat keep component (A) installed and continue troubleshooting.</span></p>",9.0
Dealer Valley Service Dept. Service Case Number,,False,,Text,USD,,<p>Dealer Valley Service Dept. Service Case Number</p>,10.0
Description of Failure,,False,,Text Area,USD,,<p>Description of Failure</p>,11.0
Failure Code (Screen / Software / Hardware),,True,Picklist,Single Select,USD,"Screen
Software
Hardware",<p>Failure Code</p>,12.0
Failure Code – Screen,,False,Checkbox,Multi Select,USD,"A1) Blank Screen - White/Gray
A2) Blank Screen - Black
A3) Stuck on Valley Screen
A4) Flickering/Lines
A5) Touch Screen Not Responsive
A6) Calibration Off (Touch location incorrect)
A7) Touch Screen Slow Response
A8) Display Quality (Color, Washout, etc.)
A9) Screen Rebooting",<p>Failure Code – Screen</p>,13.0
Failure Code – Software,,False,Checkbox,Multi Select,USD,"B1) Firmware
B2) Time and/or Date Problems",<p>Failure Code – Software</p>,14.0
Failure Code – Hardware,,False,Checkbox,Multi Select,USD,"C1) Bent/Damaged Pins
C2) Foreign Debris on Connections
C3) Damaged Cables
C4) Touch Buttons Not Responsive (Icon 5/Icon X Only)",<p>Failure Code – Hardware</p>,15.0
Failure Mode,,False,,Text,USD,,<p>Failure Mode</p>,
Tower,,False,,Number,USD,,<p>Tower #</p>,
Parent Order,,False,,Text,USD,,<p>Parent Order #</p>,
Front or Rear,,False,Picklist,Single Select,USD,"Front
Rear",<p>Front or Rear</p>,
GPS Coordinates,,False,,Text,USD,,<p>GPS Coordinates</p>,
Hours on Machine,,False,,Number,USD,,<p>Hours on Machine</p>,
Centerdrive RPM,,False,,Number,USD,,<p>Centerdrive RPM</p>,
Tire Size,,False,,Text,USD,,<p>Tire Size</p>,
Maintenance Program – Schedule,,False,Picklist,Single Select,USD,"None
Yearly
Every 2 Years",<p>Maintenance Program – Schedule</p>,
Terrain Type,,False,Picklist,Single Select,USD,"Flat
Moderate
Extreme
Other",<p>Terrain Type</p>,
Soil Type,,False,Picklist,Single Select,USD,"Clay
Silty
Loamy
Sandy
Peaty
Saline
Chalky",<p>Soil Type</p>,
Crop or Crop Rotation,,False,,Text,USD,,<p>Crop or Crop Rotation (if known)</p>,
Oil Present and Full,,False,,Text,USD,,<p>Oil Present and Full (If not full specify level)</p>,
