IsNavigational,CatalogId,Name,ParentCategoryId
True,0ZSRj00000002rROAQ,Ancillary Valves,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Butterfly Valves,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Direct Buried Cable,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Disconnect Panels,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Fertigation and Chemigation,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Flowmeters,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Generators and Engines,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Hook-Up Options,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Phase Converters,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Pump Panels,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Ring Lock Fittings,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Soft Starters,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Steel Tubing,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Variable Frequency Drives,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Control Valves,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,Pumping Options,0ZGVF0000002fFB4AY
True,0ZSRj00000002rROAQ,AgSense,0ZGVF0000002fFC4AY
True,0ZSRj00000002rROAQ,Complete Control Panels,0ZGVF0000002fFC4AY
True,0ZSRj00000002rROAQ,Control Panel Options,0ZGVF0000002fFC4AY
True,0ZSRj00000002rROAQ,Control Panel Upgrades,0ZGVF0000002fFC4AY
True,0ZSRj00000002rROAQ,Panel Auxiliary Options,0ZGVF0000002fFC4AY
True,0ZSRj00000002rROAQ,Solar,0ZGVF0000002fFC4AY
True,0ZSRj00000002rROAQ,Telemetry,0ZGVF0000002fFC4AY
True,0ZSRj00000002rROAQ,Control Panel Repair,0ZGVF0000002fFC4AY
True,0ZSRj00000002rROAQ,Pump Control Options,0ZGVF0000002fFC4AY
True,0ZSRj00000002rROAQ,Air Compressor,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Below Ground Guidance,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Cam Lines,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Corner Overhang Package,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Corner Sensor Box,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Corner Sequencing,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Corner Span Package,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Corner Spans and Overhangs,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Corner Upgrade,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Encompass,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,GPS Guidance,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,LRDU,0ZGVF0000002fFD4AY
True,0ZSRj00000002rROAQ,Sprinkler,0ZGVF0000002fFD4AY
