VRM_SubCategory__c,VRM_External_Id__c,Name,VRM_Category__c,VRM_Failure_Resolution_Code__c,WOD_2__Status__c
,Ancillary-Ancillary Valves-Coil Failure-Replace Component-1hr,FaultCode1,0ZGVF0000002fFB4AY,a85VF000000vQtpYAE,True
,Ancillary-Ancillary Valves-Mis-manufactured-Replace Component-1hr,FaultCode2,0ZGVF0000002fFB4AY,a85VF000000vQtqYAE,True
,Ancillary-Ancillary Valves-Leaking-Replace Component-1hr,FaultCode3,0ZGVF0000002fFB4AY,a85VF000000vQtrYAE,True
,Ancillary-Ancillary Valves-Won't close-Replace Component-1hr,FaultCode4,0ZGVF0000002fFB4AY,a85VF000000vQtsYAE,True
,Ancillary-Ancillary Valves-Other -- Fill in Comments-Replace Component-1hr,FaultCode5,0ZGVF0000002fFB4AY,a85VF000000vQttYAE,True
,Ancillary-Ancillary Valves-Part Dimensions Incorrect-Replace Component-1hr,FaultCode6,0ZGVF0000002fFB4AY,a85VF000000vQtuYAE,True
,Ancillary-Ancillary Valves-Shipment Damage-Replace Component-0hr,FaultCode7,0ZGVF0000002fFB4AY,a85VF000000vQtvYAE,True
,Ancillary-Butterfly Valves-Coil Failure-Replace Component-1hr,FaultCode8,0ZGVF0000002fFB4AY,a85VF000000vQtpYAE,True
,Ancillary-Butterfly Valves-Leaking-Replace Component-1hr,FaultCode9,0ZGVF0000002fFB4AY,a85VF000000vQtrYAE,True
,Ancillary-Butterfly Valves-Won't close-Replace Component-1hr,FaultCode10,0ZGVF0000002fFB4AY,a85VF000000vQtsYAE,True
,Ancillary-Butterfly Valves-Other -- Fill in Comments-Replace Component-1hr,FaultCode11,0ZGVF0000002fFB4AY,a85VF000000vQttYAE,True
,Ancillary-Butterfly Valves-Shipment Damage-Replace Component-0hr,FaultCode12,0ZGVF0000002fFB4AY,a85VF000000vQtvYAE,True
,Ancillary-Control Valves-Coil Failure-Replace Component-1hr,FaultCode13,0ZGVF0000002fFB4AY,a85VF000000vQtpYAE,True
,Ancillary-Control Valves-Leaking-Replace Component-1hr,FaultCode14,0ZGVF0000002fFB4AY,a85VF000000vQtrYAE,True
,Ancillary-Control Valves-Won't close-Replace Component-1hr,FaultCode15,0ZGVF0000002fFB4AY,a85VF000000vQtsYAE,True
,Ancillary-Control Valves-Other -- Fill in Comments-Replace Component-1hr,FaultCode16,0ZGVF0000002fFB4AY,a85VF000000vQttYAE,True
,Ancillary-Control Valves-Shipment Damage-Replace Component-0hr,FaultCode17,0ZGVF0000002fFB4AY,a85VF000000vQtvYAE,True
,Ancillary-Control Valves-Will Not Rotate-Replace Component-1.5hr,FaultCode18,0ZGVF0000002fFB4AY,a85VF000000vQtwYAE,True
,Ancillary-Disconnect Panels-Calibration changed/out of spec-Replace Component-1hr,FaultCode19,0ZGVF0000002fFB4AY,a85VF000000vQtxYAE,True
,Ancillary-Disconnect Panels-Contact Points Burned-Replace Component-1hr,FaultCode20,0ZGVF0000002fFB4AY,a85VF000000vQtyYAE,True
,Ancillary-Disconnect Panels-Contactor Chattering-Replace Component-1hr,FaultCode21,0ZGVF0000002fFB4AY,a85VF000000vQtzYAE,True
